,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b3495,10048.51592150663,10313.486136870984,7939.709938670719,3236.667678161535,33373.693096725896,32446.9070258097,34298.6059479344,36491.0621623934,30972.411855577404,28301.8662837261,28431.609636034198,24650.9654768956,24728.4020322129,22913.1173335451,21107.064922223202,18862.2699987196,20834.8840058848,17177.2344119304,16916.3117554432,17024.7396454503,15487.573116758602,13466.9401676205,11374.418861837099,11729.9252046899,11066.5231890262,10988.2560997695,9477.0508368536,8281.106249999999,12600.062499999998,28194.810526315792,26742.956730769234,15697.140271493214,18613.03043478261,20184.3875,22225.612,11851.818897637795,9414.58914728682,13460.30534351145,12607.852272727272,19559.94318181818,17046.63568773234,15836.082437275983,14061.519713261649,13211.183098591553,8764.798634812287,10624.233108108108,10453.701342281878,12098.42,5011.313559322034,7079.973890339425,7790.444444444444,7010.058275058275,3773.2041284403663,23099.59,22042.89,15183.56,11691.99,11180.35
b3497,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.575,23.49375,7.389473684210527,5.4375,10.995475113122172,8.421739130434784,5.5625,10.02,8.539370078740157,10.926356589147286,10.148854961832061,12.56439393939394,7.757575757575758,6.230483271375466,13.175627240143369,12.623655913978494,12.207746478873242,11.112627986348123,10.06081081081081,13.516778523489931,8.03,12.042372881355933,21.69190600522193,14.014184397163119,19.233100233100235,14.791284403669724,,,,,
b3498,850.1077635775,1691.3180794942623,688.9801630025224,387.41407338088374,518.4827772393,468.5029049575,479.58071037540003,502.86811881510005,443.0026266061,458.8524327815,482.19702395800005,443.08514708940004,496.8077549771,491.9087776471,481.3548460915,468.2545021915,497.8799933331,471.5218320047,486.2966063556,465.87416886230005,446.59100131540004,446.9674908121,438.6440765256,440.9353167343,433.6263337515,435.0067495643,435.9566763067,352.29374999999993,371.1375,316.39473684210526,378.9663461538461,466.4932126696832,471.4826086956522,337.9666666666667,411.78,417.992125984252,418.6705426356589,397.16412213740455,455.93939393939394,497.07954545454544,352.1338289962825,413.168458781362,399.96057347670256,475.2288732394367,471.1501706484642,447.1993243243243,510.8791946308725,371.2833333333333,435.5197740112994,478.2610966057441,427.5460992907801,630.8205128205128,475.1949541284403,813.47,648.55,766.71,762.07,781.39
b3499,151.0969538053261,344.5125906081967,127.42848959117116,68.14996879297675,,326.7642438702,262.8049907046,,,243.451377129,,,,,,,,,,,,,,,,,,81.54999999999998,97.04375,43.46842105263159,48.25,64.60633484162896,50.43478260869566,48.40833333333334,58.611999999999995,67.30708661417323,65.05813953488372,77.30152671755725,70.41666666666667,66.14772727272727,54.185873605947954,91.54480286738352,73.23297491039426,106.37676056338027,73.52901023890784,73.15202702702703,58.22818791946309,92.02333333333333,89.43502824858757,109.33681462140993,106.70212765957446,125.94871794871796,162.4495412844037,,,,,
b3500,791.8409346892392,1130.2769639073774,604.0906644456758,352.9740841702792,481.46998012410006,439.4011860097,491.8856227482,585.227719888,518.3517901316001,434.8533525863,448.150735741,432.48337985980004,411.47969999040004,381.7312630925,466.60805601510003,444.15401263160004,388.6674333904,377.05262410949996,366.6467017508,413.67085605690005,400.72642459699995,383.66545212529996,342.9815184223,336.16052680900003,311.0783338031,341.807551831,400.4549786603,522.45625,518.6062499999998,354.68421052631584,372.57692307692315,439.08144796380094,332.76521739130436,355.95,387.584,389.5866141732283,414.30232558139534,465.9236641221374,377.4507575757576,433.4886363636364,351.10037174721185,372.1720430107527,442.55197132616485,347.1232394366197,410.0477815699659,382.9898648648649,391.30536912751677,135.69,92.36723163841809,413.9608355091384,101.60520094562649,325.8065268065268,111.64449541284401,672.27,597.94,525.3,450.72,497.86
b3503,41.41017729271738,20.106800742786888,25.07637435801801,5.554140192186047,,,,,,,,,,,,,,,,,,,,,,,,5.425,0.83125,1.173684210526316,1.5528846153846154,0.9683257918552036,0.34347826086956523,4.141666666666667,4.044,0.7086614173228346,0.050387596899224806,0.20610687022900764,5.715909090909091,4.56060606060606,4.159851301115242,1.0824372759856629,2.0250896057347667,0.7183098591549296,3.098976109215017,2.64527027027027,0.006711409395973154,,,0.04177545691906005,,0.5244755244755245,,,,,,
b3506,1617.7806948792393,7479.56531665164,722.4955447305405,324.4295804655348,1159.789285464,1100.67023972,3388.7986664712,2193.2451248294,1580.8280491588,826.3717042861,878.1925727964999,1419.7536410372,635.5028021625,947.7533222005001,1059.0739400669,1066.5827598951,994.7188526350999,1073.9242765261,703.4725816108,1194.6045771381,523.7396367705,899.0959534988001,534.5829470891999,545.4578041266001,,656.9160112527,737.4174178737,4737.674999999998,4966.112499999998,321.63684210526316,299.5048076923077,269.4524886877828,1026.2478260869566,329.9125,121.22399999999999,281.24015748031496,290.0387596899225,388.5229007633588,176.48863636363637,246.85984848484853,260.2565055762082,769.5555555555555,413.1146953405018,194.38028169014083,4358.03071672355,197.0608108108108,520.4395973154361,1.9633333333333327,5.31638418079096,130.2402088772846,0.8770685579196217,98.17249417249418,0.4151376146788991,567.57,352.05,363.55,373.48,491.95
b3509,634.7484610268477,6850.4860309555725,438.0437420645946,195.86175768102325,1004.6677516591001,828.4249272917,2193.4559539837,1686.850695289,1216.5898948761,742.1351939097,,510.4871304604,502.10788395099996,438.44221542279996,574.3686920254,,489.746540814,436.4311462482,,,334.4843402448,,173.8291678939,,,,,4971.812499999999,5679.4625,390.4789473684211,272.45673076923083,274.4570135746606,761.3217391304347,205.6,28.380000000000006,146.0,58.11627906976744,172.6145038167939,37.8939393939394,32.428030303030305,115.50929368029742,413.8673835125448,101.55197132616487,26.40140845070423,2390.9897610921507,34.945945945945944,131.0771812080537,41.53666666666667,81.27118644067797,177.8772845953003,15.47044917257683,106.5944055944056,7.931192660550457,9401.43,4089.86,3291.52,4217.49,3233.45
b3510,6828.8863958451075,44250.91995934672,4841.499934332973,2289.5647313409304,2412.2403665884,2148.2032071922,5560.0564511555,5228.5773352208,3504.2024693696003,1619.7331297085998,1458.7036888057999,2245.6702682091,1276.2225980081,1072.8961139653,1622.4380111545001,,1094.1944773295,1064.1423381343,967.3154876392999,1258.1896439586,,807.4952883257,684.3491764355999,,448.0387600438,521.1465559714,,86444.33124999999,95243.29374999998,7831.457894736844,5894.076923076923,6779.054298642534,15205.573913043481,4672.133333333334,670.78,2511.102362204724,2082.678294573644,2805.0877862595416,1140.905303030303,1171.8484848484848,2971.014869888476,8244.15770609319,2552.501792114695,739.0387323943663,46635.92491467577,1577.0878378378382,1941.469798657718,42.11,34.409604519774014,834.9738903394257,62.95508274231678,899.9114219114218,2.447247706422018,22242.03,8062.0,,,3049.27
b3511,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5125,26.8625,2.0631578947368423,0.7836538461538459,1.095022624434389,12.621739130434785,0.7791666666666668,0.6639999999999999,0.31889763779527563,0.2558139534883721,1.4236641221374045,0.011363636363636362,0.2954545454545455,0.6468401486988847,0.6379928315412187,1.6093189964157706,0.7253521126760564,117.07849829351535,0.6858108108108107,2.600671140939597,,,0.01827676240208877,,0.2027972027972028,,,,,,
